

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Haiti",332,"Long-term average annual precipitation in depth",4151,1962,1440.0,"X","","6030"
"Honduras",340,"Long-term average annual precipitation in depth",4151,1962,1976.0,"X","[11]","6030"
"Hungary",348,"Long-term average annual precipitation in depth",4151,1962,589.0,"","","1588"
"Iceland",352,"Long-term average annual precipitation in depth",4151,1962,1940.0,"X","","6030"
"India",356,"Long-term average annual precipitation in depth",4151,1962,1083.0,"X","","6030"
"Indonesia",360,"Long-term average annual precipitation in depth",4151,1962,2702.0,"X","","6030"
"Iran (Islamic Republic of)",364,"Long-term average annual precipitation in depth",4151,1962,228.0,"","","1603"
"Iraq",368,"Long-term average annual precipitation in depth",4151,1962,216.0,"","","1600"
"Ireland",372,"Long-term average annual precipitation in depth",4151,1962,1118.0,"X","","6030"
"Israel",376,"Long-term average annual precipitation in depth",4151,1962,435.0,"","","1595"
"Italy",380,"Long-term average annual precipitation in depth",4151,1962,832.0,"X","","6030"
"Jamaica",388,"Long-term average annual precipitation in depth",4151,1962,2051.0,"X","","6030"
"Japan",392,"Long-term average annual precipitation in depth",4151,1962,1668.0,"","","1603"
"Jordan",400,"Long-term average annual precipitation in depth",4151,1962,111.0,"","[12]","1604"
"Kenya",404,"Long-term average annual precipitation in depth",4151,1962,630.0,"X","[13]","6030"
"Kuwait",414,"Long-term average annual precipitation in depth",4151,1962,121.0,"","","1604"
"Lao People's Democratic Republic",418,"Long-term average annual precipitation in depth",4151,1962,1834.0,"X","","6030"
"Lebanon",422,"Long-term average annual precipitation in depth",4151,1962,661.0,"","","1602"
"Lesotho",426,"Long-term average annual precipitation in depth",4151,1962,788.0,"X","","6030"
"Liberia",430,"Long-term average annual precipitation in depth",4151,1962,2391.0,"X","","6030"
"Libya",434,"Long-term average annual precipitation in depth",4151,1962,56.0,"X","","6030"
"Luxembourg",442,"Long-term average annual precipitation in depth",4151,1962,934.0,"X","","6030"
"Madagascar",450,"Long-term average annual precipitation in depth",4151,1962,1513.0,"X","","6030"
"Malawi",454,"Long-term average annual precipitation in depth",4151,1962,1181.0,"X","","6030"
"Malaysia",458,"Long-term average annual precipitation in depth",4151,1962,2875.0,"X","","6030"
"Maldives",462,"Long-term average annual precipitation in depth",4151,1962,1972.0,"X","","6030"
"Mali",466,"Long-term average annual precipitation in depth",4151,1962,282.0,"X","","6030"
"Malta",470,"Long-term average annual precipitation in depth",4151,1962,560.0,"X","","6030"
"Mauritania",478,"Long-term average annual precipitation in depth",4151,1962,92.0,"X","","6030"
"Mauritius",480,"Long-term average annual precipitation in depth",4151,1962,2041.0,"X","","6030"
"Mexico",484,"Long-term average annual precipitation in depth",4151,1962,758.0,"","[14,15]","6467"
"Mongolia",496,"Long-term average annual precipitation in depth",4151,1962,241.0,"X","","6030"
"Morocco",504,"Long-term average annual precipitation in depth",4151,1962,346.0,"X","","6030"
"Mozambique",508,"Long-term average annual precipitation in depth",4151,1962,1032.0,"X","","6030"
"Myanmar",104,"Long-term average annual precipitation in depth",4151,1962,2091.0,"X","","6030"
"Namibia",516,"Long-term average annual precipitation in depth",4151,1962,285.0,"X","","6030"
"Nepal",524,"Long-term average annual precipitation in depth",4151,1962,1500.0,"X","","6030"
"Netherlands",528,"Long-term average annual precipitation in depth",4151,1962,778.0,"X","","6030"
"New Zealand",554,"Long-term average annual precipitation in depth",4151,1962,1732.0,"","[16]","1589"
"Nicaragua",558,"Long-term average annual precipitation in depth",4151,1962,2280.0,"","","6433"
"Niger",562,"Long-term average annual precipitation in depth",4151,1962,151.0,"X","","6030"
"Nigeria",566,"Long-term average annual precipitation in depth",4151,1962,1150.0,"X","","6030"
"Norway",578,"Long-term average annual precipitation in depth",4151,1962,1414.0,"X","","6030"
"Oman",512,"Long-term average annual precipitation in depth",4151,1962,125.0,"","[17]","1601"
"Pakistan",586,"Long-term average annual precipitation in depth",4151,1962,494.0,"X","","6030"
"Palestine",275,"Long-term average annual precipitation in depth",4151,1962,402.0,"X","","6030"
"Panama",591,"Long-term average annual precipitation in depth",4151,1962,2928.0,"","","6433"
"Papua New Guinea",598,"Long-term average annual precipitation in depth",4151,1962,3142.0,"X","","6030"
"Paraguay",600,"Long-term average annual precipitation in depth",4151,1962,1130.0,"","","6433"
"Peru",604,"Long-term average annual precipitation in depth",4151,1962,1738.0,"","","6433"
"Philippines",608,"Long-term average annual precipitation in depth",4151,1962,2348.0,"X","","6030"
"Poland",616,"Long-term average annual precipitation in depth",4151,1962,600.0,"X","","6030"
"Portugal",620,"Long-term average annual precipitation in depth",4151,1962,854.0,"X","","6030"
"Puerto Rico",630,"Long-term average annual precipitation in depth",4151,1962,2054.0,"X","","6030"
"Qatar",634,"Long-term average annual precipitation in depth",4151,1962,74.0,"","[18]","1601"
"Republic of Korea",410,"Long-term average annual precipitation in depth",4151,1962,1274.0,"X","","6030"
"Romania",642,"Long-term average annual precipitation in depth",4151,1962,637.0,"X","","6030"
"Rwanda",646,"Long-term average annual precipitation in depth",4151,1962,1212.0,"X","","6030"
"Saint Kitts and Nevis",659,"Long-term average annual precipitation in depth",4151,1962,1427.0,"X","","6030"
"Saint Lucia",662,"Long-term average annual precipitation in depth",4151,1962,2301.0,"X","","6030"
"Saint Vincent and the Grenadines",670,"Long-term average annual precipitation in depth",4151,1962,1583.0,"X","","6030"
"Samoa",882,"Long-term average annual precipitation in depth",4151,1962,2880.0,"","","6644"
"Sao Tome and Principe",678,"Long-term average annual precipitation in depth",4151,1962,3200.0,"X","","6030"
"Saudi Arabia",682,"Long-term average annual precipitation in depth",4151,1962,59.0,"","[19]","1598"
"Senegal",686,"Long-term average annual precipitation in depth",4151,1962,686.0,"X","","6030"
"Seychelles",690,"Long-term average annual precipitation in depth",4151,1962,2330.0,"X","[20]","6030"
"Sierra Leone",694,"Long-term average annual precipitation in depth",4151,1962,2526.0,"X","","6030"
"Singapore",702,"Long-term average annual precipitation in depth",4151,1962,2497.0,"X","","6030"
"Solomon Islands",90,"Long-term average annual precipitation in depth",4151,1962,3028.0,"X","","6030"
"Somalia",706,"Long-term average annual precipitation in depth",4151,1962,282.0,"X","","6030"
"South Africa",710,"Long-term average annual precipitation in depth",4151,1962,495.0,"X","","6030"
"Spain",724,"Long-term average annual precipitation in depth",4151,1962,636.0,"X","","6030"
"Sri Lanka",144,"Long-term average annual precipitation in depth",4151,1962,1712.0,"X","","6030"
"Suriname",740,"Long-term average annual precipitation in depth",4151,1962,2331.0,"","[21]","6433"
"Sweden",752,"Long-term average annual precipitation in depth",4151,1962,624.0,"X","","6030"
"Switzerland",756,"Long-term average annual precipitation in depth",4151,1962,1537.0,"X","","6030"
"Syrian Arab Republic",760,"Long-term average annual precipitation in depth",4151,1962,252.0,"X","","6030"
"Thailand",764,"Long-term average annual precipitation in depth",4151,1962,1622.0,"X","","6030"
"Timor-Leste",626,"Long-term average annual precipitation in depth",4151,1962,1500.0,"X","","6030"
"Togo",768,"Long-term average annual precipitation in depth",4151,1962,1168.0,"X","","6030"
"Trinidad and Tobago",780,"Long-term average annual precipitation in depth",4151,1962,2200.0,"X","","6030"
"Tunisia",788,"Long-term average annual precipitation in depth",4151,1962,207.0,"X","","6030"
"Turkey",792,"Long-term average annual precipitation in depth",4151,1962,593.0,"","","1590"
"Uganda",800,"Long-term average annual precipitation in depth",4151,1962,1180.0,"X","","6030"
"United Arab Emirates",784,"Long-term average annual precipitation in depth",4151,1962,78.0,"X","[22]","6030"
"United Kingdom",826,"Long-term average annual precipitation in depth",4151,1962,1220.0,"X","","6030"
"United Republic of Tanzania",834,"Long-term average annual precipitation in depth",4151,1962,1071.0,"X","","6030"
"United States of America",840,"Long-term average annual precipitation in depth",4151,1962,715.0,"X","","6030"
"Uruguay",858,"Long-term average annual precipitation in depth",4151,1962,1300.0,"","","6433"
"Vanuatu",548,"Long-term average annual precipitation in depth",4151,1962,2000.0,"","","6645"
"Venezuela (Bolivarian Republic of)",862,"Long-term average annual precipitation in depth",4151,1962,2044.0,"","[23]","6433"
"Viet Nam",704,"Long-term average annual precipitation in depth",4151,1962,1821.0,"X","","6030"
"Yemen",887,"Long-term average annual precipitation in depth",4151,1962,167.0,"X","","6030"
"Zambia",894,"Long-term average annual precipitation in depth",4151,1962,1020.0,"X","","6030"
"Zimbabwe",716,"Long-term average annual precipitation in depth",4151,1962,657.0,"X","","6030"
"Afghanistan",4,"Long-term average annual precipitation in volume",4150,1962,213.48522,"E","","0"
"Albania",8,"Long-term average annual precipitation in volume",4150,1962,42.69375,"E","","0"
"Algeria",12,"Long-term average annual precipitation in volume",4150,1962,211.97486,"E","","0"
"Andorra",20,"Long-term average annual precipitation in volume",4150,1962,0.4724,"X","","6036"
"Angola",24,"Long-term average annual precipitation in volume",4150,1962,1259.167,"E","","0"
"Antigua and Barbuda",28,"Long-term average annual precipitation in volume",4150,1962,0.4532,"E","","0"
"Argentina",32,"Long-term average annual precipitation in volume",4150,1962,1643.0,"","","6433"
"Australia",36,"Long-term average annual precipitation in volume",4150,1962,4133.81148,"E","","0"
"Austria",40,"Long-term average annual precipitation in volume",4150,1962,93.1068,"E","","0"
"Bahamas",44,"Long-term average annual precipitation in volume",4150,1962,17.93296,"E","","0"
"Bahrain",48,"Long-term average annual precipitation in volume",4150,1962,0.05727,"E","","0"
"Bangladesh",50,"Long-term average annual precipitation in volume",4150,1962,395.79436,"E","","0"
"Barbados",52,"Long-term average annual precipitation in volume",4150,1962,0.61146,"E","","0"
"Belgium",56,"Long-term average annual precipitation in volume",4150,1962,25.84,"","","0"
"Belize",84,"Long-term average annual precipitation in volume",4150,1962,39.16385,"E","","0"
"Benin",204,"Long-term average annual precipitation in volume",4150,1962,119.23564,"E","","0"
"Bhutan",64,"Long-term average annual precipitation in volume",4150,1962,103.4,"E","","0"
"Bolivia (Plurinational State of)",68,"Long-term average annual precipitation in volume",4150,1962,1259.0,"","","6433"
"Botswana",72,"Long-term average annual precipitation in volume",4150,1962,241.99968,"E","","0"
"Brazil",76,"Long-term average annual precipitation in volume",4150,1962,14995.0,"","","6433"
"Brunei Darussalam",96,"Long-term average annual precipitation in volume",4150,1962,15.70594,"E","","0"
"Bulgaria",100,"Long-term average annual precipitation in volume",4150,1962,67.48192,"E","","0"
"Burkina Faso",854,"Long-term average annual precipitation in volume",4150,1962,205.11656,"E","","0"
"Burundi",108,"Long-term average annual precipitation in volume",4150,1962,35.45542,"E","","0"
"Cabo Verde",132,"Long-term average annual precipitation in volume",4150,1962,0.91884,"E","","0"
"Cambodia",116,"Long-term average annual precipitation in volume",4150,1962,344.70016,"E","","0"
"Cameroon",120,"Long-term average annual precipitation in volume",4150,1962,762.60576,"E","","0"
"Canada",124,"Long-term average annual precipitation in volume",4150,1962,5361.76779,"E","","0"
"Central African Republic",140,"Long-term average annual precipitation in volume",4150,1962,836.66214,"E","","0"
"Chad",148,"Long-term average annual precipitation in volume",4150,1962,413.448,"E","","0"
"Chile",152,"Long-term average annual precipitation in volume",4150,1962,1151.0,"","","6433"
"China",156,"Long-term average annual precipitation in volume",4150,1962,6192.0,"E","","0"
"Colombia",170,"Long-term average annual precipitation in volume",4150,1962,3699.0,"","","6433"
"Comoros",174,"Long-term average annual precipitation in volume",4150,1962,1.6749,"E","","0"
"Congo",178,"Long-term average annual precipitation in volume",4150,1962,562.932,"E","","0"
"Costa Rica",188,"Long-term average annual precipitation in volume",4150,1962,149.5186,"E","","0"
"Côte d'Ivoire",384,"Long-term average annual precipitation in volume",4150,1962,434.67608,"E","","0"
"Cuba",192,"Long-term average annual precipitation in volume",4150,1962,146.70315,"E","","0"
"Cyprus",196,"Long-term average annual precipitation in volume",4150,1962,4.6065,"E","","0"
"Democratic People's Republic of Korea",408,"Long-term average annual precipitation in volume",4150,1962,127.04916,"E","","0"
"Democratic Republic of the Congo",180,"Long-term average annual precipitation in volume",4150,1962,3618.11898,"E","","0"
"Denmark",208,"Long-term average annual precipitation in volume",4150,1962,30.29227,"E","","0"
"Djibouti",262,"Long-term average annual precipitation in volume",4150,1962,5.104,"E","","0"
"Dominica",212,"Long-term average annual precipitation in volume",4150,1962,1.56225,"E","","0"
"Dominican Republic",214,"Long-term average annual precipitation in volume",4150,1962,68.6247,"E","","0"
"Ecuador",218,"Long-term average annual precipitation in volume",4150,1962,644.81544,"E","","0"
"Egypt",818,"Long-term average annual precipitation in volume",4150,1962,18.126245,"E","","0"
"El Salvador",222,"Long-term average annual precipitation in volume",4150,1962,37.53536,"E","","0"
"Equatorial Guinea",226,"Long-term average annual precipitation in volume",4150,1962,60.4758,"E","","0"
"Eswatini",748,"Long-term average annual precipitation in volume",4150,1962,13.67968,"E","","0"
"Fiji",242,"Long-term average annual precipitation in volume",4150,1962,47.35584,"E","","0"
"Finland",246,"Long-term average annual precipitation in volume",4150,1962,181.2484,"E","","0"
"France",250,"Long-term average annual precipitation in volume",4150,1962,476.06103,"E","","0"
"Gabon",266,"Long-term average annual precipitation in volume",4150,1962,490.10377,"E","","0"
"Gambia",270,"Long-term average annual precipitation in volume",4150,1962,9.4468,"E","","0"
"Germany",276,"Long-term average annual precipitation in volume",4150,1962,249.879,"E","","0"
"Ghana",288,"Long-term average annual precipitation in volume",4150,1962,283.14698,"E","","0"
"Greece",300,"Long-term average annual precipitation in volume",4150,1962,86.03792,"E","","0"
"Grenade",308,"Long-term average annual precipitation in volume",4150,1962,0.799,"E","","0"
"Guatemala",320,"Long-term average annual precipitation in volume",4150,1962,217.34444,"E","","0"
"Guinea",324,"Long-term average annual precipitation in volume",4150,1962,405.91486,"E","","0"
"Guinea-Bissau",624,"Long-term average annual precipitation in volume",4150,1962,56.97701,"E","","0"
"Guyana",328,"Long-term average annual precipitation in volume",4150,1962,513.1,"","","6433"
"Haiti",332,"Long-term average annual precipitation in volume",4150,1962,39.96,"E","","0"
"Honduras",340,"Long-term average annual precipitation in volume",4150,1962,222.28024,"E","","0"
"Hungary",348,"Long-term average annual precipitation in volume",4150,1962,54.79467,"E","","0"
"Iceland",352,"Long-term average annual precipitation in volume",4150,1962,199.82,"E","","0"
"India",356,"Long-term average annual precipitation in volume",4150,1962,3560.10258,"E","","0"
"Indonesia",360,"Long-term average annual precipitation in volume",4150,1962,5163.33286,"E","","0"
"Iran (Islamic Republic of)",364,"Long-term average annual precipitation in volume",4150,1962,397.8942,"E","","0"
"Iraq",368,"Long-term average annual precipitation in volume",4150,1962,94.67712,"E","","0"
"Ireland",372,"Long-term average annual precipitation in volume",4150,1962,78.57304,"E","","0"
"Israel",376,"Long-term average annual precipitation in volume",4150,1962,9.60045,"E","","0"
"Italy",380,"Long-term average annual precipitation in volume",4150,1962,250.71488,"E","","0"
"Jamaica",388,"Long-term average annual precipitation in volume",4150,1962,22.54049,"E","","0"
"Japan",392,"Long-term average annual precipitation in volume",4150,1962,630.1704,"E","","0"
"Jordan",400,"Long-term average annual precipitation in volume",4150,1962,9.85458,"E","","0"
"Kenya",404,"Long-term average annual precipitation in volume",4150,1962,365.6331,"E","","0"
"Kuwait",414,"Long-term average annual precipitation in volume",4150,1962,2.15622,"E","","0"
"Lao People's Democratic Republic",418,"Long-term average annual precipitation in volume",4150,1962,434.2912,"E","","0"
"Lebanon",422,"Long-term average annual precipitation in volume",4150,1962,6.90745,"E","","0"
"Lesotho",426,"Long-term average annual precipitation in volume",4150,1962,23.92368,"E","","0"
"Liberia",430,"Long-term average annual precipitation in volume",4150,1962,266.28567,"E","","0"
"Libya",434,"Long-term average annual precipitation in volume",4150,1962,98.53424,"E","","0"
"Luxembourg",442,"Long-term average annual precipitation in volume",4150,1962,2.415,"","","1531"
"Madagascar",450,"Long-term average annual precipitation in volume",4150,1962,888.19152,"E","","0"
"Malawi",454,"Long-term average annual precipitation in volume",4150,1962,139.92488,"E","","0"
"Malaysia",458,"Long-term average annual precipitation in volume",4150,1962,951.05,"E","","0"
"Maldives",462,"Long-term average annual precipitation in volume",4150,1962,0.5916,"E","","0"
"Mali",466,"Long-term average annual precipitation in volume",4150,1962,349.73358,"E","","0"
"Malta",470,"Long-term average annual precipitation in volume",4150,1962,0.1792,"E","","0"
"Mauritania",478,"Long-term average annual precipitation in volume",4150,1962,94.8244,"E","","0"
"Mauritius",480,"Long-term average annual precipitation in volume",4150,1962,4.16364,"E","","0"
"Mexico",484,"Long-term average annual precipitation in volume",4150,1962,1489.0,"","","6467"
"Mongolia",496,"Long-term average annual precipitation in volume",4150,1962,376.95292,"E","","0"
"Morocco",504,"Long-term average annual precipitation in volume",4150,1962,154.5063,"E","","0"
"Mozambique",508,"Long-term average annual precipitation in volume",4150,1962,824.96016,"E","","0"
"Myanmar",104,"Long-term average annual precipitation in volume",4150,1962,1414.74969,"E","","0"
"Namibia",516,"Long-term average annual precipitation in volume",4150,1962,234.92265,"E","","0"
"Nepal",524,"Long-term average annual precipitation in volume",4150,1962,220.77,"E","","0"
"Netherlands",528,"Long-term average annual precipitation in volume",4150,1962,32.31034,"E","","0"
"New Zealand",554,"Long-term average annual precipitation in volume",4150,1962,463.67372,"E","","0"
"Nicaragua",558,"Long-term average annual precipitation in volume",4150,1962,297.2436,"E","","0"
"Niger",562,"Long-term average annual precipitation in volume",4150,1962,191.317,"E","","0"
"Nigeria",566,"Long-term average annual precipitation in volume",4150,1962,1062.3355,"E","","0"
"Norway",578,"Long-term average annual precipitation in volume",4150,1962,544.64452,"E","","0"
"Oman",512,"Long-term average annual precipitation in volume",4150,1962,38.6875,"E","","0"
"Pakistan",586,"Long-term average annual precipitation in volume",4150,1962,393.2734,"E","","0"
"Palestine",275,"Long-term average annual precipitation in volume",4150,1962,2.42004,"E","","0"
"Panama",591,"Long-term average annual precipitation in volume",4150,1962,220.82976,"E","","0"
"Papua New Guinea",598,"Long-term average annual precipitation in volume",4150,1962,1454.24328,"E","","0"
"Paraguay",600,"Long-term average annual precipitation in volume",4150,1962,459.6,"","","6433"
"Peru",604,"Long-term average annual precipitation in volume",4150,1962,2234.0,"","","6433"
"Philippines",608,"Long-term average annual precipitation in volume",4150,1962,704.4,"E","","0"
"Poland",616,"Long-term average annual precipitation in volume",4150,1962,187.614,"E","","0"
"Portugal",620,"Long-term average annual precipitation in volume",4150,1962,78.67048,"E","","0"
"Puerto Rico",630,"Long-term average annual precipitation in volume",4150,1962,18.21898,"E","","0"
"Qatar",634,"Long-term average annual precipitation in volume",4150,1962,0.85914,"E","","0"
"Republic of Korea",410,"Long-term average annual precipitation in volume",4150,1962,126.45724,"E","","0"
"Romania",642,"Long-term average annual precipitation in volume",4150,1962,151.85443,"E","","0"
"Rwanda",646,"Long-term average annual precipitation in volume",4150,1962,31.92408,"E","","0"
"Saint Kitts and Nevis",659,"Long-term average annual precipitation in volume",4150,1962,0.49945,"E","","0"
"Saint Lucia",662,"Long-term average annual precipitation in volume",4150,1962,1.42662,"E","","0"
"Saint Vincent and the Grenadines",670,"Long-term average annual precipitation in volume",4150,1962,0.61737,"E","","0"
"Samoa",882,"Long-term average annual precipitation in volume",4150,1962,8.1792,"E","","0"
"Sao Tome and Principe",678,"Long-term average annual precipitation in volume",4150,1962,3.072,"E","","0"
"Saudi Arabia",682,"Long-term average annual precipitation in volume",4150,1962,126.83171,"E","","0"
"Senegal",686,"Long-term average annual precipitation in volume",4150,1962,134.94306,"E","","0"
"Seychelles",690,"Long-term average annual precipitation in volume",4150,1962,1.0718,"E","","0"
"Sierra Leone",694,"Long-term average annual precipitation in volume",4150,1962,182.6298,"E","","0"
"Singapore",702,"Long-term average annual precipitation in volume",4150,1962,1.69796,"E","","0"
"Solomon Islands",90,"Long-term average annual precipitation in volume",4150,1962,87.5092,"E","","0"
"Somalia",706,"Long-term average annual precipitation in volume",4150,1962,179.82012,"E","","0"
"South Africa",710,"Long-term average annual precipitation in volume",4150,1962,603.44955,"E","","0"
"Spain",724,"Long-term average annual precipitation in volume",4150,1962,321.80964,"E","","0"
"Sri Lanka",144,"Long-term average annual precipitation in volume",4150,1962,112.32432,"E","","0"
"Suriname",740,"Long-term average annual precipitation in volume",4150,1962,381.9,"","","6433"
"Sweden",752,"Long-term average annual precipitation in volume",4150,1962,280.9872,"E","","0"
"Switzerland",756,"Long-term average annual precipitation in volume",4150,1962,63.46273,"E","","0"
"Syrian Arab Republic",760,"Long-term average annual precipitation in volume",4150,1962,46.66536,"E","","0"
"Thailand",764,"Long-term average annual precipitation in volume",4150,1962,832.28064,"E","","0"
"Timor-Leste",626,"Long-term average annual precipitation in volume",4150,1962,22.305,"E","","0"
"Togo",768,"Long-term average annual precipitation in volume",4150,1962,66.33072,"E","","0"
"Trinidad and Tobago",780,"Long-term average annual precipitation in volume",4150,1962,11.286,"E","","0"
"Tunisia",788,"Long-term average annual precipitation in volume",4150,1962,33.86727,"E","","0"
"Turkey",792,"Long-term average annual precipitation in volume",4150,1962,465.71255,"E","","0"
"Uganda",800,"Long-term average annual precipitation in volume",4150,1962,285.029,"E","","0"
"United Arab Emirates",784,"Long-term average annual precipitation in volume",4150,1962,6.5208,"E","","0"
"United Kingdom",826,"Long-term average annual precipitation in volume",4150,1962,297.2042,"E","","0"
"United Republic of Tanzania",834,"Long-term average annual precipitation in volume",4150,1962,1014.5583,"E","","0"
"United States of America",840,"Long-term average annual precipitation in volume",4150,1962,6884.79935,"E","","0"
"Uruguay",858,"Long-term average annual precipitation in volume",4150,1962,229.1,"","","6433"
"Vanuatu",548,"Long-term average annual precipitation in volume",4150,1962,24.38,"E","","0"
"Venezuela (Bolivarian Republic of)",862,"Long-term average annual precipitation in volume",4150,1962,1864.0,"","","6433"
"Viet Nam",704,"Long-term average annual precipitation in volume",4150,1962,604.00749,"E","","0"
"Yemen",887,"Long-term average annual precipitation in volume",4150,1962,88.17099,"E","","0"
"Zambia",894,"Long-term average annual precipitation in volume",4150,1962,767.6622,"E","","0"
"Zimbabwe",716,"Long-term average annual precipitation in volume",4150,1962,256.72932,"E","","0"
"Afghanistan",4,"Total renewable water resources",4188,1962,65.33,"E","","0"
"Albania",8,"Total renewable water resources",4188,1962,30.2,"E","","0"
"Algeria",12,"Total renewable water resources",4188,1962,11.667,"E","","0"
"Andorra",20,"Total renewable water resources",4188,1962,0.3156,"X","","6036"
"Angola",24,"Total renewable water resources",4188,1962,148.4,"E","","0"
